EVANSDALE , 1565232.9806825272
NORTHMOUNT , 1221856.6261196157
PRINCE RUPERT , 1142897.102191077
SPRUCE AVENUE , 1212526.3107388043
WESTWOOD , 981239.0204708843
HIGH PARK , 717947.5223784242
MCQUEEN , 704486.0393800477
HIGHLANDS , 1145031.4897680352
ELMWOOD , 1024110.9437811886
THORNCLIFF , 896555.4435382236
CASSELMAN , 838848.015109218
GLENGARRY , 1342341.1575126206
QUEEN ALEXANDRA , 1233787.4265548592
NORTH GLENORA , 865215.4493888784
KILDARE , 1186528.8405601294
ALLENDALE , 881959.1640874571
PARKALLEN , 847397.1297615772
PRINCE CHARLES , 788699.3151841762
WOODCROFT , 1289371.5097004676
LEE RIDGE , 896437.4218788429
HILLVIEW , 1100224.87687352
IDYLWYLDE , 663642.9834403398
OTTEWELL , 2579600.848621997
YORK , 1186684.2235247528
CALLINGWOOD SOUTH , 770866.5128911178
EMPIRE PARK , 1070223.7105861136
MEADOWLARK PARK , 1106898.2258156603
SUMMERLEA , 1098515.5012695894
GROVENOR , 919118.2986497013
BRITANNIA YOUNGSTOWN , 1635364.5295596032
GLENWOOD , 1769466.6315631066
PARKVIEW , 1543699.7489723738
BEACON HEIGHTS , 1148127.8070045568
ALDERGROVE , 1488012.3072054137
EASTWOOD , 1129856.3825637717
LAUDERDALE , 1299170.6211559654
ROSSLYN , 1340542.4497736322
KILLARNEY , 1330681.412176495
JASPER PARK , 664104.2874677816
RICHFIELD , 942649.9163758889
CAPILANO , 1303928.992481348
ALBERTA AVENUE , 1677452.827348237
DELTON , 678580.0953673569
MINCHAU , 903911.6348068981
SHERWOOD , 439913.7032032511
GREENVIEW , 984381.1555666437
GREENFIELD , 1527180.7361423832
SHERBROOKE , 924538.3531093284
DOVERCOURT , 999469.3563556188
PLEASANTVIEW , 1477760.6319839694
LENDRUM PLACE , 857484.4050153975
MEYONOHK , 872405.4819762582
KAMEYOSEK , 720318.1178040409
TIPASKAN , 802865.1764970898
MILL WOODS PARK , 489552.56538559834
WESTBROOK ESTATES , 1163369.665533664
MAYFIELD , 865659.9477723534
MICHAELS PARK , 830548.1472821848
MCKERNAN , 876725.9983380412
CALLINGWOOD NORTH , 909108.21687119
DECHENE , 722969.5699047557
ATHLONE , 1191104.1308939974
MILL WOODS TOWN CENTRE , 517494.1011757935
OLESKIW , 1323653.3839035365
BELMEAD , 1278366.2279616708
BELLEVUE , 512824.1211560504
FULTON PLACE , 976754.6263772306
RIO TERRACE , 581719.5151033758
ORMSBY PLACE , 1347973.6319564022
CALDER , 1345756.1657861334
RHATIGAN RIDGE , 1341726.988635354
RAMSAY HEIGHTS , 1308523.6889539822
MENISA , 892686.694053994
WILD ROSE , 1769121.1869042565
CRESTWOOD , 1166078.729908824
LARKSPUR , 1655221.1929614258
WEINLOS , 915178.5924204598
QUESNELL HEIGHTS , 206784.98065608775
BLUE QUILL ESTATES , 441730.05306119897
GARSIDE INDUSTRIAL , 663301.5700824506
ALBERTA PARK INDUSTRIAL , 663461.7418790348
BROWN INDUSTRIAL , 374890.0431668755
MILLER , 825344.1046177513
CANORA , 880285.3955786126
FALCONER HEIGHTS , 649137.4457790261
WELLINGTON , 1217034.551949879
CORONET ADDITION INDUSTRIAL , 432375.5123273152
TERRA LOSA , 759946.8269615266
HIGH PARK INDUSTRIAL , 388105.4078303045
HUFF BREMNER ESTATE INDUSTRIAL , 1038784.6290094472
WEST JASPER PLACE , 889124.8927323535
WEST MEADOWLARK PARK , 1115054.3255990592
WESTVIEW VILLAGE , 924167.6079097703
DAVIES INDUSTRIAL WEST , 1324651.5954145268
DOMINION INDUSTRIAL , 980714.1630180172
MCNAMARA INDUSTRIAL , 976366.1903913743
EDMISTON INDUSTRIAL , 1180145.7596937919
EVERGREEN , 655017.3508900414
WEST SHEFFIELD INDUSTRIAL , 622949.6835598915
WILSON INDUSTRIAL , 994713.7558287376
ARMSTRONG INDUSTRIAL , 1111649.713811136
MCINTYRE INDUSTRIAL , 1567219.1944625494
YOUNGSTOWN INDUSTRIAL , 482982.538209481
INGLEWOOD , 1646899.2288522236
BANNERMAN , 731761.2878347295
BELLE RIVE , 1171320.4382713828
SKYRATTLER , 616813.4488759808
BISSET , 941442.0823354874
CPR IRVINE , 662430.2018202333
ROYAL GARDENS , 1216466.6185974218
TAWA , 663467.7839955641
MITCHELL INDUSTRIAL , 591447.3786121333
MORIN INDUSTRIAL , 667424.5186485109
NORWESTER INDUSTRIAL , 686919.9551610694
PARSONS INDUSTRIAL , 2622462.1824257607
POUNDMAKER INDUSTRIAL , 662449.6352802726
EKOTA , 818207.7140872767
SATOO , 1310315.5299834625
SHEFFIELD INDUSTRIAL , 379005.0941423904
SUNWAPTA INDUSTRIAL , 674070.3004894145
UNIVERSITY OF ALBERTA , 1193866.4885646687
STONE INDUSTRIAL , 644713.7197976648
CANON RIDGE , 651594.6487172837
RIVER VALLEY TERWILLEGAR , 3072393.369048513
KINISKI GARDENS , 1955988.3800880217
BLACKMUD CREEK , 779276.555344922
CALGARY TRAIL NORTH , 745859.2165624766
ELLERSLIE , 1576840.5661286514
BLACKBURNE , 725135.6885742736
VIRGINIA PARK , 506670.2086439144
PLACE LARUE , 1039946.3447691053
LA PERLE , 1332959.2441900165
CARLETON SQUARE INDUSTRIAL , 409445.8243878194
CALGARY TRAIL SOUTH , 652732.5702791442
LYMBURN , 1558770.6305363895
WHITE INDUSTRIAL , 1922304.4238763757
